Session,Monkey,Age,AgeClass,Group,BlueLUM,BlueBY,BlueRG,RedLUM,RedBY,RedRG,CPOHR,PRHR,MRHR,Elo,Ordinal,Prevalence,Richness,#Parasitesamples,#Hormonesamples,GCMEAN,ARMEAN
2,BTR ,40,,KS,0.204891592,0.074844561,-0.018945193,0.174646476,-0.215820225,0.11464256,0,0,0,478,10,0.38,2,8,7,46.61669,37.48585
2,PCO ,67,,KS,0.3219768,0.136016563,-0.06752378,0.130095203,-0.219177002,0.120888058,0.47058822,0,0.23529414,1430,3,0.5,1,4,3,18.21127376,41.20750842
2,RSL ,58,,KS,0.296898118,0.043668246,-0.057474247,0.121180819,-0.14569016,0.108534813,0.21052632,0.21052632,0,1035,6,1,4,5,6,44.69536053,33.7098381
2,PKN ,55,,KS,0.275153038,0.099160261,-0.051931839,0.15916012,-0.156860955,0.10271663,0.45714288,0.34285716,0,833,8,0.71,2,7,9,51.53907303,52.64137298
2,WTN ,55,,KS,0.23096373,0.058742297,-0.0491372,0.189201947,-0.149757443,0.090044415,0,0,0,1002,7,1,3,2,2,12.23551587,37.77777778
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
2016,DCO ,42,,MA,0.109490161,0.034066415,0.000324641,0.108991452,-0.103862623,0.078777732,,,,755,9,,,,3,46.39,64.28
2016,GRY ,28,,MA,0.099565,-0.127642767,0.023577444,0.116316,-0.166194189,0.055774546,,,,830,8,,,,2,31.14,53.16
2016,JNK ,104,,MA,0.226204323,0.172085924,-0.074382422,0.117227516,-0.123638119,0.055330735,,,,1202,3,,,,6,40.18,142.81
2016,LFT ,49,,MA,0.117659037,0.121992745,-0.030106522,0.174531517,-0.067949694,0.065545569,,,,1105,4,,,,4,28.47,53.26
2016,LPA ,31,,MA,0.079217,-0.012251183,0.002733016,0.124765,-0.149147227,0.052534555,,,,874,6,,,,3,61.38,72.22
2016,PCO ,31,,MA,0.144484975,0.070235792,-0.014833233,0.276829817,-0.170680388,0.039184651,,,,919,5,,,,2,17.09,38.7
2016,PFY ,42,,MA,0.158269,0.069476618,-0.012409253,0.258115,-0.184865299,0.046461758,,,,868,7,,,,3,30.68,46.02
2016,PYT ,89,,MA,0.310046644,0.110783424,-0.05889375,0.186788705,-0.053091357,0.03505741,,,,1428,1,,,,5,45.01,124.83
2016,TTO ,30,,MA,0.111191805,-0.032272629,0.019181721,0.176509568,-0.244153115,0.060509376,,,,703,10,,,,3,33.3,60.6
2016,VPR ,70,,MA,0.251688481,0.155332514,-0.063336743,0.098692,0.055662803,0.027160394,,,,1306,2,,,,5,45.32,114.12
2016,CGR ,66,,HC,0.313766763,0.043154502,-0.034276655,0.07021812,-0.155364608,0.097755402,,,,1290,1,,,,3,24.03,53.35
2016,IMP ,55,,HC,0.192567079,0.054273615,-0.048688878,0.079568,-0.120802344,0.08889252,,,,823,6,,,,5,17.74,58.23
2016,NWM ,103,,HC,0.268458585,0.097271043,-0.088100105,0.142103873,-0.104614263,-0.000302943,,,,1091,2,,,,3,43.9,94.62
2016,PMA ,65,,HC,0.102872884,-0.022592618,0.000595603,0.156814377,-0.162717695,0.048457646,,,,983,7,,,,3,43.21,89.67
2016,SPT ,55,,HC,0.330883811,-0.112597756,-0.049471253,0.080657414,-0.208528759,0.115858018,,,,1050,3,,,,3,23.59,63.99
2016,VCN ,64,,HC,0.14903,0.020459337,-0.010679022,0.158882,-0.151299521,0.035431844,,,,959,8,,,,1,25.53,21.74
2016,WLF ,64,,HC,0.117239514,0.098540753,-0.016866065,0.117611931,-0.161147652,0.083529106,,,,847,5,,,,5,43.23,71.05
